id,Rating,Reviews
85,1,great value quality performance par great battery life especially since upgrading s8 little scratch great sound video quality
128,0,video showcase product use video guide product setup video compare multiple product video show product unpacked video player loading play video play mute current time 0 00 duration 1 40 loaded 6 01 loaded 6 01 stream type seek live currently behind live live remaining time 1 40 playback rate chapter description description selected caption caption selected english automated audio track default selected fullscreen recieved item scratch place fact little difficult pull charger charging port item look damage
145,1,video showcase product use video guide product setup video compare multiple product video show product unpacked video player loading play video play mute current time 0 00 duration 0 19 loaded 31 61 loaded 31 61 stream type seek live currently behind live live remaining time 0 19 playback rate chapter description description selected caption caption selected english automated audio track default selected fullscreen phone look almost brand new everything seems work fine still original protective plastic manufacturer around side thats screen protector thats screen look weird
149,1,great product clean easy activate packaging secure done care complaint
151,0,video showcase product use video guide product setup video compare multiple product video show product unpacked video player loading play video play mute current time 0 00 duration 1 43 loaded 5 83 loaded 5 83 stream type seek live currently behind live live remaining time 1 43 playback rate chapter description description selected caption caption selected english audio track default selected fullscreen phone worked well looked almost new bearly scratch connected bluetooth strong data connection wifi work tried factory reset going friend house connect wifi thinking home wifi problem even though phone working wifi connection house wifi moreover hotspot work wifi hotspot would turn automatically turning good phone going order one check setting work
174,1,best feature long battery life performance delivered today product quality look super nice already huawei band 6 love much saw watch fit 3 look like iwatch told needed buy
175,1,performance smooth product quality look durable best feature easy use sulit sa freebie discount fast transaction super bilis ang delivery
177,1,product quality worth every penny performance responsive best feature work tracker got extra voucher paying 4 899 steal bang buck love size display light weight maganda din ang resolution pair well iphone 15 excited use workout buddy kasi run badminton lift weight
182,1,product quality superb quality upgraded amazfit gts mini 2 performance great display cool watch face best feature larger screen lightweight red button different function 3 day delivery 1500 worth voucher discount got 5384 plus free bud huawei gift 0 interest spaylater
187,1,best feature sleep step counter performance long lasting battery life product quality cheap high quality received item earlier stated used muna day really nice freebie worthy expect free item looking really nice love coffee tumbler watch used lot track sleep well really like use workout count step
193,1,performance fast vibrant color best feature crown 60hz product quality durable minimalist specification subject actual product device complying 5 atm rated water water resistance rating 50 meter iso standard 22810 2010 mean may used shallow water activity like swimming pool ocean smartwatch look watch fit best thought advanced looking exercise tracker pull telling time delivering notification better anything fitbit samsung offer price great definitely one best fitness tracker around
