id,Rating,Reviews
3,1,day battery last whole day rest day 25 impressed
12,1,overall great product received condition promised phone battery however great renewed phone general measure taken last day ideally
43,0,bought phone birthday gift son came went hooked cell phone company find phone unlocked disappointing going kind loop try get unlocked advertise unlocked
50,1,technical problem phone seller replaced without problem
62,1,phone superb iphone user family like photo made phone better
102,0,purchased two phone gift family member south america two day trip neither phone actually unlocked stay away seller
103,0,phone worked well 45 day
108,1,ordered excellent condition arrived like new using month far problem used europe 2 operator trip confirm unlocked well global phone
130,1,wanted give thumb seller cuz knew expect phone never know seller def would buy
131,1,reading review phone nervous ordering last phone last leg phone shipped right away arrived time minor scratch edge screen nothing impair function charge great battery power last according usage
150,0,phone purchased slow since day bought less 2 month trouble returning guess bought brand new phone
169,0,purchased gift mother phone worked 4 month stopped holding charge
215,1,good phone say dual sim feature spec phone received good condition brought fiji family member issue network single sim phone hope recover cost selling someone else lot hassle send back
237,0,purchased refurbished phone past without glitch overall positive idea purchasing refurbished phone general however purchase pretty terrible upon setting phone received repeated crash error o mean never able get phone received imei error stating imei access phone capability access data network functionality requested replacement received several day later replacement exact problem would call complete total fail part seller confirming functionality o etc sale seller never allowed sell phone amazon
270,1,hard review many different seller sell item received pristine phone excellent condition thegadgetdeals seller got hard speak longevity described far
329,0,phone factory unlocked returned given gift someone caribbean challenging returned can not used refund without return replacement either horrible service wish could give zero star
357,0,purchased phone advertised unlocked compatible verizon wireless first phone came mail setting discovered compatible started refund ordered replacement went back double checked phone compatible unlocked reached seller reply replacement came today exact thing happened phone accept sim card save trouble returning two phone without phone three day purchase seller
361,0,purchased 3 phone business seller none would connect network regardless phone great physical shape useless call could placed returned purchased make model phone different seller worked perfectly connected network immediately
363,0,received phone tried activate informed verizon lost stolen device list could activated cost two sim card give negative star rating could buyer beware stay far away
364,0,addition excellent condition add claimed phone unlocked headache avoid seller
370,0,made 2 trip verizon defective phone waisted many hour time simply send junk tested claimed
