id,Rating,Reviews
0,1,micro scratch screen see looking used battery cca 91 health month old phone work look like new
15,1,bought phone son decent phone price practically brand new work great problem phone able get service phone everything running smoothly
22,1,good price refurbished model able distinguish refrurb new even brand new phone right next cosmetically flawless side note factory unlocked phone mobile phone still work consumer cellular sim need get used looking big red mobile screen every time reboot phone apple user many year learning curve annoyance android apps nothing would deter getting
24,1,ordered good condition phone look brand new put sim card everything worked perfectly thank macalegin electronics
27,1,soon took box could tell used phone major scuff corner aswell around charge port bought one supposed excellent condition thought would like new apparent one belongs acceptable category course used phone gon na perfect one exactly excellent condition going put case around anyway scuff matter much methe screen look like replaced due scratch free plastic film main concern might lack original waterproof capability unless restorer used oem seal applying new screen overall phone work really well absolutely problem using think great deal phone still relatively new lot life left like came charger box reason give 3 star misleading great condition factor lot software update download first couple day use
28,1,battery life poor charge 2x day know refurbished phone thought would new battery believe great
32,1,lot research replacement old s8 teh s21 fe looked like good choice phone refurbished one say like new battery bit review state new s21 refurb clearly advertised least 80 new described worst thing s21 compared s8 camera s8 camera excellent s21 pretty bad use s8 quality year actually tempting get new screen s8 toss s21 due really obvious poor quality teh s21 camera samsung issue though vendor accurate description excellent product fast deliverysamsung cop bring back s8 camera
38,1,good quality camera thin light design nice display problem phone battery need charge twice even moderate internet consumer
48,0,thing good phone battery drain fast phone heat use super phone expected fast smooth resorted google pixel 4xl give better everything need
53,1,waste money new value warranty new
56,1,waited write review see phone would operate using couple month pleased phone problem phone looked operated like brand new phone feel little skeptical trust get disappointed
59,1,phone couple day amazing battery last long time able put att sims card service irked fine transferred everything using sharing app definitely buying cell phone looked like new thank
62,1,phone superb iphone user family like photo made phone better
75,1,received like new condition phone complaint
81,1,could find scratch mark phone look brand new coming moto stylus phone took little bit get use difference touch samsung sensitive motorola day problem connectivity uconnect truck smartwatch flawless stayed connected without problem scrolling fast smooth would easily recommend phone almost 1 1 2 year thrilled phone updated latest ui worked flawlessly great battery life photo expected company helpful question still recommend phone bay trading
86,1,excelente work like new phone happy
91,1,looking jump series great deal refurbished third price new one phone look like new come generic box detail better feature check youtube
116,0,charger provided low quality different brand made china take 5 hour charge phone phone performance good charger big concern amount time required charge
121,1,device came fast look brand new issue setup charger worked slow charging switched charger charged time would definitely buy
127,1,2 day came excellent condition new screen carrier logo screen battery holding great charge well
147,1,perfect movil phone excellent condition look like new
150,0,phone purchased slow since day bought less 2 month trouble returning guess bought brand new phone
152,1,get charger bought model brand new better good condition battery still last long though
155,0,phone open apps anything set google account seems like kind software issue amazon warranted excellent condition refurbished phone totally waste time phone arrived two day later could rate 5 would first last time buying refurbished phone
157,1,phone received atrocious battery life without going android developer setting menu turning sensor setting enabling expect second hand phone though work fine silky smooth screen really light thin easily pocket able relatively powerful fe series phone work fine job except disabling sensor every time get call disables telephony microphone admittedly due workaround save battery
158,1,phone everything needed phone run fast good memory space apps file pleased far
160,1,urgently needed get new cell never bought renewed one always bought new renewed cell listed excellent condition appears using almost 3 week issue wanted review dispel fear buying renewed phone guess gamble far good
226,1,phone could perform better need phone quick respond battery last day even ubereats delivery day using gps bluetooth continuously processor handle running even intensive apps run emulator exceedingly well camera quality par phone used price range new need get new phone bothered current top line model phone one go
278,0,bought phone sim card accepted phone beautiful home screen started glitching first day able get apps started return bought new one problem return one
292,0,like new unlocked
299,1,good camera good battery life good performance amazing screen run android 14 issue phone get scratched easily
317,1,phone arrived day early good condition described using mint mobile issue complaint phone aux port
321,1,satisfied purchase seller cheapest price phone phone work great brand new super fast shipping
323,0,phone arrived great condition looked new included charger little pin open sim helpful super cool however phone month back camera atrocious bit suspicious renewal camera replaced something cheaper part landed moto 6 broke camera feature user raved online motorola camera much better thing pixelates horrifically can not zoom barely take color act like near sighted attached two photo took device first zoom show pixelating second without front camera work league better seems considering online review stating device work well photography replacing month definitely wanted trust refurbished phone bit worn regardless job temporary replacement
348,1,work like brand new
354,1,first phone return second time work expected
386,1,phone like new work great
388,1,android guy stopped buying brand new phone purchase reconditioned phone amazon lot difference phone looked worked good battery health good matter
396,1,honestly phone looked like brand new unopened super satisfied quick mine came good battery
404,1,great phone
406,1,phone work great look brand new 1st one got worked great dent gouge back cover really matter since use cover supposed excellent condition returned one excellent condition work perfect mint mobile get 5g
407,1,know phone expensive second phone buying phone worked great like brand new s21 fe 2 week 0 issue buy another time come
411,0,supposedly refurbished renewed phone nothing junk second one return first phone would stay charged second phone would show home screen two trip phone store wise get new phone bought showed amazon renewed store usually good quality amazon put name thus case
416,0,samsung phone user buy new device giving much trouble even turned phone suspicion fake thick bezel supposed lg looking notch top turned even surprise everything looked like 900th class quality could breath nothing pixel phone worse samsung series series phone knew sure phone fake
