Username,Date,Reviews,Rating,Model 
Ryan S.|Ryan S.,8/10/2024,"Hello, this is my first review on Amazon. This review comes courtesy of a longtime Samsung user. Included is a picture of my S9 FE+ 256GB next to my second S6 Tab Lite (I lost the first one ;( ) shot on a S20 FE 5G. I will be comparing to my S6 Tab Lite. I really like the S6 Lite. I got it for $200 at Walmart (for both S6's). For comparison, I was given a Nexus 7 back in 2012, which was also purchased for $200. The Nexus is now 12 yo, and barely works. Using the S6 has been awesome. It's only chugged during intensive moments in gaming, and it only froze for a second or two. With three times the RAM as the S6, I don't think I'll have any problems for a long time.nThe size of the S6 Tab Lite is a lot more manageable for me. I could use it (the S6) one handed if I was only really using one half of the screen. I definitely can't with this! That being said, as somebody who's working on an engineering undergrad degree, I found the screen of the S6 too small. This screen feels big enough to use on most days. And with 256 GB instead of 64 GB, I can have games and lots of notes.A few notes: the S9 pen is a bit thicker and has a smaller button than the S6 pen. Second, I was getting better rear photos on the S6 than the S9, I don't know why. I hope it's user error. I'll update you on that. Finally, the S6 feels slimmer in my hand even though they're the same thickness, thanks to the S6 having rounded corners versus the sharper/more upright edges on the S9.Conclusion: For relaxation, the S6 is better, assuming you're not playing hard-core games (it ran fine on Honkai ... on the lowest settings). For work, the extra real estate pays dividends and with a good keyboard case, should be good to replace the laptop most of the time.Proper Review:When I wrote this originally, I didn't have the Samsung portfolio case. I left a review there about a month ago. (Short and sweet: It's very expensive, but it's also perfectly suited to what I need from this device. Backlighting would be nice, but I don't find it to be as much of an issue as I did a month ago.) Update on the camera: I think I smudged up the camera when grabbing the first time. I took a picture of an outdoor scene, and although it wasn't sharp, it wasn't really fuzzy either. I haven't done a side-by-side comparrison with the S6 Lite though. I'll update this update if I determine that smudges weren't the cause of the picture quality deficit.I learned about more software features, like RAM+ and wireless mirroring. In options, it gives the ability for up to 8 GB of virtual RAM. However, I also noted that 4 GB of RAM+ was selected and turned on by default. When I turned it off, it still showed up as 12 GB. Hopefully, this means I can have 20 GB of RAM, although I can't possibly imagine I'd need that many. I've noticed that the tablet seems to use at minimum around 4-5 GB of RAM. Makes me wonder how the S6 Lite manages to run Honkai Star Rail. I've seemed to have more performance issues in games than the S6 on higher settings, but the battery life is much better. It feels like this will never die! The S6 could only do 3-4 hours of gaming, but this can do much more, I think atleast twice as much, maybe triple? This also has faster charging speeds. Let me demonstrate the battery life. I have 1hr 15 minute classes. With note-taking almost the entire time, this went down 7%. At that rate, that's probably almost 16 hours of on-screen time!This tablet really is something special, especially with the portfolio case. It's small enough that I feel comfortable walking a mile to class with this in my hands (in a 13' Macbook case lol), and it's big enough that I can get work done on it - as long as I'm not constantly switching tabs. Windows is better for rearranging tabs, although Samsung provides more freedom - I just don't find that freedom useful personally. I still stand by my opinion that gaming is easier on the smaller screen - I accidentally pressed the accelerator in RR3 numerous times on the S9 FE+, but that never happened on the S6 Lite.Anyways, that's it for me. I'd highly recommend getting the extra RAM, especially if you're like me who was raised to use stuff until it falls apart. If you're a student, I couldn't recommend this tablet more strongly.",5,Galaxy Tab S9 FE+ Plus
4 Lil Lambs,11/1/2024,"I absolutely love this brand's tablets. This is my second one. But probably the fourth tablet for my family to purchase. First one lasted almost three and a half years before I had trouble with it. Then another five before it gave up the ghost.I love the upgrade of the pen. This was my one big reason with go with another samsung over say a fire. And I was thrilled with how well this tablet handled my artwork.Since getting I've been on it a lot. I love the bigger screen (In comparison to my phone) The high speed under which it works.If I could change or improve this, I don't think I would. The pen was my main complaint in the past, but I am thrilled on how they included, and upgraded it and how smoothly it works.",5,Galaxy Tab S9 FE+ Plus
Stephen the Ex-Monk,12/20/2024,"Like any mobile device from Samsung, this tablet is well built and will last a few years if not abused.I'm not over fond of the Samsung special apps loaded and I tend to squash any I can. This is one reason I wish I could get a Pixel tablet with the same features, I do not like bloat.Aside from the unneeded software, it's pleasing to use. Some things are different from my old Tab S-3, but it's quite a few years newer so that's expected.Of note, the included S-pen will magnetically attach to the back of your tablet. This is a nice feature but also I don't trust it to keep my pen in place. I purchased a case which takes advantage of the magnet but uses an elastic strap to ensure it stays where its supposed to be.The fingerprint reader is on the power button and I've found it both natural to use and accurate. You can adjust the navigation controls to be either a three button configuration or a gesture type. I prefer the three button. Unlike the S3, these buttons are not a part of the physical devie and instead are onscreen. This gives you the ability to both change the position of the buttons (mine are right of center) you can also change the order so the back button is on the left like most other Android devices. Oddly, I am so used to having my tablet with back button on the right instead of left that I just left it there.When I activated the mobile connection, Verizon downloaded an e-sim to it instead of using the included nano-sim. It also didn't activate immediately and I don't know why. Eventually I successfully activated it and conclude the range is just as good as my phone. I'm not 100% sure buying with the 5G mobile connection was wise, but that's a personal decision.Outside of the question of whether getting 5G was a good idea, there's no question this is a good product and worth buying.",5,Galaxy Tab S9 FE+ Plus
Farren Farret,12/8/2024,If you are debating getting this tablet i suggest you dong and just get it! the battery life is so good it last up to two days. I use my tablet for college and for illustrations and it works like heaven. On top of this the features are so cool like veing able to use it as a computer or being able to use it as a second monitor. This feature definetly has been helpful as i work on my laptop and need noted open on the side. it’s also decently customizable bc you can change the pen cursor as you’d like. This definetly more worth it than an Ipad in comparison because you’re not spending another $100 for a pen.,5,Galaxy Tab S9 FE+ Plus
3N?°,7/23/2024,"I bought this to make art and as soon as I touched the top of the S Pen to the screen I was blown away by how smooth and soft the feel is against the screen. Set up was quick and easy. It's even easier if you already have Google and Samsung accounts.It doesn't come with a charger block, only a type c to type c wire, which left me with no choice but to use a random off brand type c charger with a Samsung type A block which I hope won't mess with the battery or life span of this thing.The metallic lavender color is gorgeous and warm, quite similar to the pink HP Stream 14. The S Pen is a pastel, chalky lavender in a cooler tone.This tablet is razor thin, relatively lightweight for its size (perfect for drawing) and has a fantastic display.The user interface is typical of samsungs and androids. Unfortunately, Samsung phone themes are not compatible but you can customize the icons by selecting color schemes that match your wallpaper.Sounds quality is pretty good. It doesn't get too loud. To start, I played a mobile game and watched YouTube. Both experiences were hiccup-free and great on such a large, clear screen.The tablet comes with PENUP already on it, so artists who are just getting back into digital drawing will enjoy the app and its new, intuitive user interface.The S-pen has handwrite to text features that kick in automatically upon pairing with either your tablet or Samsung phone. I tried this S pen with both and the features come built into the pen!",4,Galaxy Tab S9 FE+ Plus
Mike Richart,12/10/2024,"Buying a new tablet is always hard. So many compromises to make since price is always an issue. I'm glad I picked the Tab 9 fe.Great color and faster than my older Tab.  This is my 4th Galaxy tablet, so I'm pretty comfortable in the Samsung universe. Even so, it takes a minute to learn the new features.Transferring from my old device was easy. Samsung walks you right through it.  A really Big Plus for me is the ability to mount a micro SD card. I added 256 gig. Gives me room.Charging is fast. Samsung doesn't include a wall wart, but I guess we all have a bunch. USB-C cable is Included.The S-Pen is new to me. The pen included is the 'dumb version so some advancedfeatures are not available.  An upgrade is available for purchase, if you want it.I'm not a Power User and this tablet is great for me.",5,Galaxy Tab S9 FE+ Plus
Amazon Customer,11/9/2024,"I absolutely enjoy my new tablet. Price was high, this said, prior to this one i got the Doogee, and had to immediately returned it back to amazon. So i went for the brand i know is reputable. And I did. It was so easy to set up. The style can do everything: draw, notation, and even highlight. Perfect for what i need it for.  The sound from the speaker are clear, love the wide screen. the images as sharp  love the graphics. I still have to learn how to use some of the apps i downloaded like the song book for my guitar. Now I take my guitar lessons on the road with me or any trips i have and never miss out on reading, or my guitar lessons. I also play games and movies. Perfect tablet for my needs.",5,Galaxy Tab S9 FE+ Plus
Mar,1/19/2025,"If you install a photoshop for tablets, you'll get the most with images. Excellent tablet; however, if it is considered to design, try a bigger one to find it more confortable. The camera should be improved, however it's functionality is not to be used as camera. I strongly recommend it. Battery, translation, note taking, audio, video.. all excellent.",5,Galaxy Tab S9 FE+ Plus
Kat W,1/6/2025,"My old Samsung tablet stopped receiving updates in 2019, so I figured it was time for a new one. After so much looking and comparing many brands and sizes, I chose the Samsung Galaxy Tab S9 FE 2023 in silver.Some of the layout and apps look similar to my old tablet, but many things have improved. The tablet seems fast, and charges fast (I purchased a fast Samsung charger separately). I like the fingerprint-scanning button (when the tablet is not locked). The S pen is responsive, even with a glass screen protector installed. I'm not into taking a lot of pictures, so the camera is fine for me. The sound is fine for me as well. since I just need the basics, nothing fancy, and I'm not a gamer.I got rid of some preinstalled apps, some that I was able to remove; others that I couldn't remove I disabled. I added some of my own apps, and added some music on an SD card. I like the note-taking app that was preinstalled.The Tab S9 is the right size for me to use as an e-book reader. I have a case with a hand strap, so I usually hold my tablet to read or check email. There are many things that can be customized on this tablet, including accessibility features. I'm liking this tablet.",5,Galaxy Tab S9 FE+ Plus
KralosJr|KralosJr,12/23/2024,"I just bought it on black Friday and I couldn't be happier about the purchase, the tablet feels very good, good quality, the Dex help mode is very useful, especially for people who need to have several apps open at once, the excellent multitasking. I haven't tried the battery as much but so far it's according to my needs, I have the 65W Samsung charger and I charge the tablet in 1h 30m, so I have no battery issues.Working with the S Pen is very comfortable, writing with it along, with palm rejection is very useful.I haven't tried it as much in games but having a common use have been very fluid the experience, The processor isn't high-end but so far I've done well in the games I've tried.What I like most is its integration with the Samsung ecosystem, I have an S22+ and passing files between devices is very easy, even to PC through Samsung Flow, the connection is very fast.For the use that the one wanted, which was basically for the University, it is really useful to take notes and work on Word or PowerPoint, even more if you add an inhalable keyboard with trackpad. Plus, it's great for watching media, with a good screen and great speakers.Being able to expand your memory using an SD card is something that is strange about today's phones and allows you to expand storage in a very easy way.I am a loyal Samsung user and I have not been disappointed with this Galaxy Tab S9 FE, if you are thinking of buying it, I recommend it.",5,Galaxy Tab S9 FE+ Plus
